Transaction Date,Value Date,Transaction Remarks,Cheque Number,Type,Transaction Amount,Balance
01-JUN-2025,01-JUN-2025,UPI/114138888677/BIGBASKET SUPERMKT/ICIC,,DR,2876.23,140123.77
01-JUN-2025,01-JUN-2025,UPI/661669017853/WOW MOMO FOODS/AXIS,,DR,546.32,139577.45
02-JUN-2025,02-JUN-2025,UPI/422301735005/NOBROKER PAY RENT LANDLORD/HDFC,,DR,28000.00,111577.45
03-JUN-2025,03-JUN-2025,POS 5183XXXXXXXX8901 HPCL PETROL PUMP,,DR,2053.44,109524.01
03-JUN-2025,03-JUN-2025,POS 5363XXXXXXXX8311 THIRD WAVE COFFEE,,DR,313.57,109210.44
04-JUN-2025,04-JUN-2025,UPI/269625281532/SWIGGY FOOD ORDER/HDFC,,DR,375.32,108835.12
05-JUN-2025,05-JUN-2025,POS 4543XXXXXXXX3399 IRCTC RAIL TICKET BOOKING,,DR,2017.27,106817.85
05-JUN-2025,05-JUN-2025,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,DR,1199.00,105618.85
06-JUN-2025,06-JUN-2025,UPI/614082041420/ZERODHA BROKING MF SIP/ZERO,,DR,12000.00,93618.85
07-JUN-2025,07-JUN-2025,ACH DR NETFLIX ENTERTAINMENT SVC,,DR,649.00,92969.85
07-JUN-2025,07-JUN-2025,POS 4157XXXXXXXX7838 STEAM GAMES VALVE CORP,,DR,2239.83,90730.02
07-JUN-2025,07-JUN-2025,POS 4554XXXXXXXX9182 HPCL PETROL PUMP,,DR,2521.06,88208.96
07-JUN-2025,07-JUN-2025,UPI/802983953897/SWIGGY FOOD ORDER/HDFC,,DR,781.48,87427.48
08-JUN-2025,08-JUN-2025,POS 4131XXXXXXXX5926 STARBUCKS COFFEE INDIA,,DR,503.47,86924.01
08-JUN-2025,08-JUN-2025,UPI/567102610419/URBAN COMPANY SALON/HDFC,,DR,490.24,86433.77
08-JUN-2025,08-JUN-2025,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,DR,2791.93,83641.84
09-JUN-2025,09-JUN-2025,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,DR,2450.00,81191.84
10-JUN-2025,10-JUN-2025,UPI/634227561333/COUNTRY DELIGHT MILK/AXIS,,DR,535.60,80656.24
